time,cbr,,time,tcp
2.0324,0.492029128,,0.030096,1.329080276
2.032592,0.491982651,,0.092688,11.65199379
2.033168,0.491843271,,0.09352,22.66894782
2.0404,0.980199961,,0.156112,20.24187763
2.041456,0.979692925,,0.156944,26.76113773
2.041712,0.979570086,,0.157776,33.21164182
2.0484,1.464557704,,0.219536,28.60578675
2.05,1.463414634,,0.220368,33.21716402
2.0564,1.945146859,,0.2212,37.79385172
2.056656,1.944904739,,0.282128,33.31821017
2.05912,1.942577412,,0.28296,36.8956743
2.0644,2.422011238,,0.283792,40.45216215
2.065776,2.420397952,,0.284624,43.98785766
2.0724,2.895193978,,0.285456,47.50294266
2.074064,2.892871194,,0.286288,50.99759683
2.0804,3.36473755,,0.345552,45.26091587
2.083184,3.360240862,,0.346384,48.15464918
2.0884,3.830683777,,0.347216,51.03451454
2.088528,3.830449005,,0.348048,53.90061141
2.092304,3.823536159,,0.34888,56.75303829
2.0964,4.293073841,,0.349712,59.59189276
2.097648,4.290519668,,0.350544,62.41727144
2.100592,4.284506463,,0.351376,65.22927007
2.1044,4.751948299,,0.352208,68.02798346
2.105936,4.748482385,,0.408976,61.12828137
2.108048,4.743725001,,0.409808,63.54195135
2.1124,5.207347093,,0.41064,65.94584064
2.113008,5.205848724,,0.411472,68.34000855
2.114224,5.20285457,,0.412304,70.72451395
2.1204,5.659309564,,0.413136,73.0994152
2.122512,5.653678283,,0.413968,75.46477022
2.1284,6.10787446,,0.4148,77.82063645
2.12952,6.104662083,,0.415632,80.16707087
2.1364,6.553079948,,0.416464,82.50413001
2.136976,6.551313632,,0.417296,84.83186994
2.1444,6.994963626,,0.418128,87.15034631
2.145264,6.992146421,,0.471568,79.47952363
2.1524,7.433562535,,0.4724,81.54106689
2.153552,7.429586098,,0.473232,83.59536126
2.1604,7.868913164,,0.474064,85.6424449
2.161008,7.866699244,,0.474896,87.68235572
2.16152,7.864835856,,0.475728,89.71513134
2.1684,8.301051467,,0.47656,91.74080913
2.168976,8.298847014,,0.477392,93.75942622
2.169296,8.297622823,,0.478224,95.77101944
2.1764,8.730012865,,0.479056,97.7756254
2.177264,8.726548549,,0.479888,99.77328043
2.1844,9.155832265,,0.48072,101.7640206
2.184624,9.154893474,,0.481552,103.7478818
2.185552,9.151006245,,0.482384,105.7248997
2.1924,9.578544061,,0.483216,107.6951094
2.192912,9.576307668,,0.484048,109.6585463
2.2004,9.998182149,,0.48488,111.615245
2.2012,9.994548428,,0.485712,113.5652403
2.2084,10.41477993,,0.53416,105.2119215
2.209488,10.40965147,,0.534992,106.9922541
2.2164,10.82837033,,0.535824,108.7670578
2.216624,10.82727607,,0.536656,110.5363585
2.216944,10.82571323,,0.537488,112.3001816
2.2244,11.23898579,,0.53832,114.0585525
2.225232,11.23478361,,0.539152,115.8114966
2.225744,11.23219921,,0.539984,117.5590388
2.232624,11.64548979,,0.540816,119.3012041
2.23352,11.64081808,,0.541648,121.0380173
2.234032,11.63815021,,0.54248,122.769503
2.2404,12.05141939,,0.543312,124.4956857
2.241104,12.04763367,,0.544144,126.2165897
2.24232,12.04110029,,0.544976,127.9322392
2.2484,12.45330012,,0.545808,129.6426582
2.24856,12.45241399,,0.54664,131.3478706
2.249776,12.44568348,,0.547472,133.0479002
2.2564,12.85233115,,0.548304,134.7427704
2.257136,12.8481403,,0.549136,136.4325049
2.2644,13.24854266,,0.549968,138.1171268
2.265424,13.24255415,,0.5508,139.7966594
2.2724,13.64196444,,0.551632,141.4711257
2.272624,13.64061983,,0.552464,143.1405485
2.27288,13.63908345,,0.553296,144.8049507
2.2804,14.03262586,,0.554128,146.4643548
2.281168,14.0279015,,0.55496,148.1187833
2.2884,14.42055585,,0.555792,149.7682586
2.289456,14.41390444,,0.596752,141.2311982
2.28952,14.41350152,,0.597584,142.774907
2.29688,14.80268886,,0.598416,144.3143231
2.296912,14.80248264,,0.599248,145.8494647
2.296976,14.8020702,,0.60008,147.3803493
2.3044,15.18833536,,0.600912,148.9069947
2.304528,15.18749176,,0.601744,150.4294185
2.305264,15.18264286,,0.602576,151.9476381
2.3124,15.56824079,,0.603408,153.461671
2.313552,15.56048881,,0.60424,154.9715345
2.3204,15.94552663,,0.605072,156.4772457
2.3284,16.32021989,,0.605904,157.9788217
2.32952,16.31237336,,0.606736,159.4762796
2.3364,16.6923472,,0.607568,160.9696363
2.336848,16.68914709,,0.6084,162.4589086
2.336976,16.688233,,0.609232,163.9441132
2.3444,17.06193482,,0.610064,165.4252669
2.344432,17.06170194,,0.610896,166.902386
2.3524,17.42900867,,0.611728,168.3754871
2.35352,17.4207145,,0.61256,169.8445867
2.353552,17.42047764,,0.613392,171.3097008
2.361008,17.78901215,,0.614224,172.7708458
2.361104,17.78828887,,0.615056,174.2280378
2.361808,17.78298659,,0.615888,175.6812927
2.368464,18.15522634,,0.61672,177.1306265
2.369264,18.14909609,,0.617552,178.5760551
2.369392,18.14811563,,0.618384,180.0175942
2.3764,18.51540145,,0.619216,181.4552596
2.376752,18.51265929,,0.620048,182.8890667
2.378384,18.49995627,,0.62088,184.3190311
2.3844,18.87267237,,0.621712,185.7451682
